"emp_no","dept_name"
10002,"Sales"
10016,"Sales"
10034,"Sales"
10041,"Sales"
10050,"Sales"
10053,"Sales"
10060,"Sales"
10061,"Sales"
10068,"Sales"
10087,"Sales"
10088,"Sales"
10089,"Sales"
10093,"Sales"
10095,"Sales"
10099,"Sales"
10101,"Sales"
10107,"Sales"
10125,"Sales"
10136,"Sales"
10148,"Sales"
10149,"Sales"
10151,"Sales"
10160,"Sales"
10178,"Sales"
10185,"Sales"
10199,"Sales"
10209,"Sales"
10214,"Sales"
10215,"Sales"
10226,"Sales"
10228,"Sales"
10232,"Sales"
10234,"Sales"
10236,"Sales"
10237,"Sales"
10243,"Sales"
10248,"Sales"
10253,"Sales"
10254,"Sales"
10256,"Sales"
10262,"Sales"
10270,"Sales"
10273,"Sales"
10277,"Sales"
10291,"Sales"
10292,"Sales"
10296,"Sales"
10299,"Sales"
10302,"Sales"
10304,"Sales"
10306,"Sales"
10308,"Sales"
10314,"Sales"
10319,"Sales"
10320,"Sales"
10321,"Sales"
10330,"Sales"
10331,"Sales"
10335,"Sales"
10346,"Sales"
10355,"Sales"
10361,"Sales"
10369,"Sales"
10370,"Sales"
10374,"Sales"
10375,"Sales"
10378,"Sales"
10380,"Sales"
10388,"Sales"
10398,"Sales"
10399,"Sales"
10400,"Sales"
10403,"Sales"
10407,"Sales"
10408,"Sales"
10410,"Sales"
10411,"Sales"
10417,"Sales"
10427,"Sales"
10431,"Sales"
10442,"Sales"
10444,"Sales"
10448,"Sales"
10449,"Sales"
10454,"Sales"
10455,"Sales"
10458,"Sales"
10461,"Sales"
10463,"Sales"
10468,"Sales"
10472,"Sales"
10490,"Sales"
10493,"Sales"
10499,"Sales"
10504,"Sales"
10505,"Sales"
10509,"Sales"
10510,"Sales"
10515,"Sales"
10517,"Sales"
10521,"Sales"
10525,"Sales"
10532,"Sales"
10533,"Sales"
10536,"Sales"
10537,"Sales"
10539,"Sales"
10541,"Sales"
10548,"Sales"
10555,"Sales"
10559,"Sales"
10561,"Sales"
10567,"Sales"
10568,"Sales"
10570,"Sales"
10573,"Sales"
10592,"Sales"
10596,"Sales"
10597,"Sales"
10600,"Sales"
10603,"Sales"
10616,"Sales"
10619,"Sales"
10629,"Sales"
10633,"Sales"
10637,"Sales"
10638,"Sales"
10640,"Sales"
10644,"Sales"
10655,"Sales"
10670,"Sales"
10681,"Sales"
10692,"Sales"
10701,"Sales"
10705,"Sales"
10710,"Sales"
10725,"Sales"
10744,"Sales"
10754,"Sales"
10765,"Sales"
10767,"Sales"
10770,"Sales"
10788,"Sales"
10795,"Sales"
10804,"Sales"
10807,"Sales"
10810,"Sales"
10813,"Sales"
10814,"Sales"
10817,"Sales"
10828,"Sales"
10832,"Sales"
10836,"Sales"
10837,"Sales"
10855,"Sales"
10857,"Sales"
10862,"Sales"
10864,"Sales"
10865,"Sales"
10876,"Sales"
10878,"Sales"
10885,"Sales"
10889,"Sales"
10890,"Sales"
10895,"Sales"
10897,"Sales"
10906,"Sales"
10914,"Sales"
